,header,describtion,characteristics,section_name,link
0,"AH-100, 100 Вт, 0.1 Ом, 5%, Резистор силовой",,"Тип AH  ​
Номин.сопротивление 0.1  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 100  ​
Макс.рабочее напряжение,В 1900
Рабочая температура,С -55…275
Монтаж на шасси
Длина корпуса L,мм 98
Ширина (диаметр) корпуса W(D),мм 48
Вес, г 120
",Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/ah-100-100w-0.1-om-5
1,"AH-100, 100 Вт, 0.22 Ом, 5%, Резистор силовой",,"Тип AH  ​
Номин.сопротивление 0.22  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 100  ​
Макс.рабочее напряжение,В 1900
Рабочая температура,С -55…275
Монтаж на шасси
Длина корпуса L,мм 98
Ширина (диаметр) корпуса W(D),мм 48
Вес, г 154
",Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/ah-100-100w-0.22-om-5
2,"AH-100, 100 Вт, 0.47 Ом, 5%, Резистор силовой",,"Тип AH  ​
Номин.сопротивление 0.47  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 100  ​
Макс.рабочее напряжение,В 1900
Рабочая температура,С -55…275
Монтаж на шасси
Длина корпуса L,мм 98
Ширина (диаметр) корпуса W(D),мм 48
Вес, г 154
",Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/ah-100-100w-0.47-om-5
3,"AH-100, 100 Вт, 0.68 Ом, 5%, Резистор силовой",,"Тип AH  ​
Номин.сопротивление 0.68  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 100  ​
Макс.рабочее напряжение,В 1900
Рабочая температура,С -55…275
Монтаж на шасси
Длина корпуса L,мм 98
Ширина (диаметр) корпуса W(D),мм 48
Вес, г 154
",Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/ah-100-100w-0.68-om-5
4,"AH-100, 100 Вт, 1 Ом, 5%, Резистор силовой",,"Тип AH  ​
Номин.сопротивление 1  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 100  ​
Макс.рабочее напряжение,В 1900
Рабочая температура,С -55…275
Монтаж на шасси
Длина корпуса L,мм 98
Ширина (диаметр) корпуса W(D),мм 48
Вес, г 100
",Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/ah-100-100w-1-om-5
5,"AH-100, 100 Вт, 1.5 Ом, 5%, Резистор силовой",,"Тип AH  ​
Номин.сопротивление 1.5  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 100  ​
Макс.рабочее напряжение,В 1900
Рабочая температура,С -55…275
Монтаж на шасси
Длина корпуса L,мм 98
Ширина (диаметр) корпуса W(D),мм 48
Вес, г 154
",Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/ah-100-100w-1.5-om-5
6,"AH-100, 100 Вт, 2.2 Ом, 5%, Резистор силовой",,"Тип AH  ​
Номин.сопротивление 2.2  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 100  ​
Макс.рабочее напряжение,В 1900
Рабочая температура,С -55…275
Монтаж на шасси
Длина корпуса L,мм 98
Ширина (диаметр) корпуса W(D),мм 48
Вес, г 158
",Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/ah-100-100w-2.2-om-5
7,"AH-100, 100 Вт, 4.7 Ом, 5%, Резистор силовой",,"Тип AH  ​
Номин.сопротивление 4.7  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 100  ​
Макс.рабочее напряжение,В 1900
Рабочая температура,С -55…275
Монтаж на шасси
Длина корпуса L,мм 98
Ширина (диаметр) корпуса W(D),мм 48
Вес, г 154
",Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/ah-100-100w-4.7-om-5
8,"AH-100, 100 Вт, 6.8 Ом, 5%, Резистор силовой",,"Тип AH  ​
Номин.сопротивление 6.8  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 100  ​
Макс.рабочее напряжение,В 1900
Рабочая температура,С -55…275
Монтаж на шасси
Длина корпуса L,мм 98
Ширина (диаметр) корпуса W(D),мм 48
Вес, г 154
",Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/ah-100-100w-6.8-om-5
9,"AH-100, 100 Вт, 10 Ом, 5%, Резистор силовой",,"Тип AH  ​
Номин.сопротивление 10  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 100  ​
Макс.рабочее напряжение,В 1900
Рабочая температура,С -55…275
Монтаж на шасси
Длина корпуса L,мм 98
Ширина (диаметр) корпуса W(D),мм 48
Вес, г 155.1
",Резисторы мощные (более 2 Вт),https://www.chipdip.ru/product/ah-100-100w-10-om-5
