,header,describtion,characteristics,section_name,link
0,"CF-100 (С1-4) 1 Вт, 1 Ом, 5%, Резистор углеродистый","Резисторы с углеродным проводящим слоем предназначены для работы в цепях постоянного, переменного и импульсного тока. Являются заменой отечественных резисторов С1-4 Номинальная мощность: 0.25 Вт, 0.5 Вт, 1 Вт, 2 Вт Диапазон номинальных сопротивлений: 1 Ом - 10 МОм; ряд E24 Точность: 5% (J) Диапазон рабочих температур: -55 …+125°C","Тип с1-4  ​
Номин.сопротивление 1  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 1  ​
Макс.рабочее напряжение,В 500
Рабочая температура,С -55…155
Монтаж в отв.
Длина корпуса L,мм 11
Ширина (диаметр) корпуса W(D),мм 4.5
Вес, г 0.57
",Резисторы маломощные (до 2 Вт),https://www.chipdip.ru/product0/11677
1,"CF-100 (С1-4) 1 Вт, 1.1 Ом, 5%, Резистор углеродистый","Резисторы с углеродным проводящим слоем предназначены для работы в цепях постоянного, переменного и импульсного тока. Являются заменой отечественных резисторов С1-4 Номинальная мощность: 0.25 Вт, 0.5 Вт, 1 Вт, 2 Вт Диапазон номинальных сопротивлений: 1 Ом - 10 МОм; ряд E24 Точность: 5% (J) Диапазон рабочих температур: -55 …+125°C","Тип с1-4  ​
Номин.сопротивление 1.1  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 1  ​
Макс.рабочее напряжение,В 500
Рабочая температура,С -55…155
Монтаж в отв.
Длина корпуса L,мм 11
Ширина (диаметр) корпуса W(D),мм 4.5
Вес, г 0.57
",Резисторы маломощные (до 2 Вт),https://www.chipdip.ru/product0/28651
2,"CF-100 (С1-4) 1 Вт, 1.2 Ом, 5%, Резистор углеродистый","Резисторы с углеродным проводящим слоем предназначены для работы в цепях постоянного, переменного и импульсного тока. Являются заменой отечественных резисторов С1-4 Номинальная мощность: 0.25 Вт, 0.5 Вт, 1 Вт, 2 Вт Диапазон номинальных сопротивлений: 1 Ом - 10 МОм; ряд E24 Точность: 5% (J) Диапазон рабочих температур: -55 …+125°C","Тип с1-4  ​
Номин.сопротивление 1.2  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 1  ​
Макс.рабочее напряжение,В 500
Рабочая температура,С -55…155
Монтаж в отв.
Длина корпуса L,мм 11
Ширина (диаметр) корпуса W(D),мм 4.5
Вес, г 0.57
",Резисторы маломощные (до 2 Вт),https://www.chipdip.ru/product0/6699
3,"CF-100 (С1-4) 1 Вт, 1.3 Ом, 5%, Резистор углеродистый","Резисторы с углеродным проводящим слоем предназначены для работы в цепях постоянного, переменного и импульсного тока. Являются заменой отечественных резисторов С1-4 Номинальная мощность: 0.25 Вт, 0.5 Вт, 1 Вт, 2 Вт Диапазон номинальных сопротивлений: 1 Ом - 10 МОм; ряд E24 Точность: 5% (J) Диапазон рабочих температур: -55 …+125°C","Тип с1-4  ​
Номин.сопротивление 1.3  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 1  ​
Макс.рабочее напряжение,В 500
Рабочая температура,С -55…155
Монтаж в отв.
Длина корпуса L,мм 11
Ширина (диаметр) корпуса W(D),мм 4.5
Вес, г 0.57
",Резисторы маломощные (до 2 Вт),https://www.chipdip.ru/product0/35686
4,"CF-100 (С1-4) 1 Вт, 1.5 Ом, 5%, Резистор углеродистый","Резисторы с углеродным проводящим слоем предназначены для работы в цепях постоянного, переменного и импульсного тока. Являются заменой отечественных резисторов С1-4 Номинальная мощность: 0.25 Вт, 0.5 Вт, 1 Вт, 2 Вт Диапазон номинальных сопротивлений: 1 Ом - 10 МОм; ряд E24 Точность: 5% (J) Диапазон рабочих температур: -55 …+125°C","Тип с1-4  ​
Номин.сопротивление 1.5  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 1  ​
Макс.рабочее напряжение,В 500
Рабочая температура,С -55…155
Монтаж в отв.
Длина корпуса L,мм 11
Ширина (диаметр) корпуса W(D),мм 4.5
Вес, г 0.57
",Резисторы маломощные (до 2 Вт),https://www.chipdip.ru/product0/20427
5,"CF-100 (С1-4) 1 Вт, 1.6 Ом, 5%, Резистор углеродистый","Резисторы с углеродным проводящим слоем предназначены для работы в цепях постоянного, переменного и импульсного тока. Являются заменой отечественных резисторов С1-4 Номинальная мощность: 0.25 Вт, 0.5 Вт, 1 Вт, 2 Вт Диапазон номинальных сопротивлений: 1 Ом - 10 МОм; ряд E24 Точность: 5% (J) Диапазон рабочих температур: -55 …+125°C","Тип с1-4  ​
Номин.сопротивление 1.6  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 1  ​
Макс.рабочее напряжение,В 500
Рабочая температура,С -55…155
Монтаж в отв.
Длина корпуса L,мм 11
Ширина (диаметр) корпуса W(D),мм 4.5
Вес, г 0.57
",Резисторы маломощные (до 2 Вт),https://www.chipdip.ru/product0/19612
6,"CF-100 (С1-4) 1 Вт, 1.8 Ом, 5%, Резистор углеродистый","Резисторы с углеродным проводящим слоем предназначены для работы в цепях постоянного, переменного и импульсного тока. Являются заменой отечественных резисторов С1-4 Номинальная мощность: 0.25 Вт, 0.5 Вт, 1 Вт, 2 Вт Диапазон номинальных сопротивлений: 1 Ом - 10 МОм; ряд E24 Точность: 5% (J) Диапазон рабочих температур: -55 …+125°C","Тип с1-4  ​
Номин.сопротивление 1.8  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 1  ​
Макс.рабочее напряжение,В 500
Рабочая температура,С -55…155
Монтаж в отв.
Длина корпуса L,мм 11
Ширина (диаметр) корпуса W(D),мм 4.5
Вес, г 0.57
",Резисторы маломощные (до 2 Вт),https://www.chipdip.ru/product0/294
7,"CF-100 (С1-4) 1 Вт, 2 Ом, 5%, Резистор углеродистый","Резисторы с углеродным проводящим слоем предназначены для работы в цепях постоянного, переменного и импульсного тока. Являются заменой отечественных резисторов С1-4 Номинальная мощность: 0.25 Вт, 0.5 Вт, 1 Вт, 2 Вт Диапазон номинальных сопротивлений: 1 Ом - 10 МОм; ряд E24 Точность: 5% (J) Диапазон рабочих температур: -55 …+125°C","Тип с1-4  ​
Номин.сопротивление 2  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 1  ​
Макс.рабочее напряжение,В 500
Рабочая температура,С -55…155
Монтаж в отв.
Длина корпуса L,мм 11
Ширина (диаметр) корпуса W(D),мм 4.5
Вес, г 0.57
",Резисторы маломощные (до 2 Вт),https://www.chipdip.ru/product0/46288
8,"CF-100 (С1-4) 1 Вт, 2.2 Ом, 5%, Резистор углеродистый","Резисторы с углеродным проводящим слоем предназначены для работы в цепях постоянного, переменного и импульсного тока. Являются заменой отечественных резисторов С1-4 Номинальная мощность: 0.25 Вт, 0.5 Вт, 1 Вт, 2 Вт Диапазон номинальных сопротивлений: 1 Ом - 10 МОм; ряд E24 Точность: 5% (J) Диапазон рабочих температур: -55 …+125°C","Тип с1-4  ​
Номин.сопротивление 2.2  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 1  ​
Макс.рабочее напряжение,В 500
Рабочая температура,С -55…155
Монтаж в отв.
Длина корпуса L,мм 11
Ширина (диаметр) корпуса W(D),мм 4.5
Вес, г 0.57
",Резисторы маломощные (до 2 Вт),https://www.chipdip.ru/product0/27549
9,"CF-100 (С1-4) 1 Вт, 2.4 Ом, 5%, Резистор углеродистый","Резисторы с углеродным проводящим слоем предназначены для работы в цепях постоянного, переменного и импульсного тока. Являются заменой отечественных резисторов С1-4 Номинальная мощность: 0.25 Вт, 0.5 Вт, 1 Вт, 2 Вт Диапазон номинальных сопротивлений: 1 Ом - 10 МОм; ряд E24 Точность: 5% (J) Диапазон рабочих температур: -55 …+125°C","Тип с1-4  ​
Номин.сопротивление 2.4  ​
Единица измерения ом  ​
Точность,% 5  ​
Номин.мощность,Вт 1  ​
Макс.рабочее напряжение,В 500
Рабочая температура,С -55…155
Монтаж в отв.
Длина корпуса L,мм 11
Ширина (диаметр) корпуса W(D),мм 4.5
Вес, г 0.57
",Резисторы маломощные (до 2 Вт),https://www.chipdip.ru/product0/64217
