id,Группа изделий,ОТУ,Перечни  QML и QPL,"λб.с.г·10^6, 1/ч",Кх
0,Бумажные / с органическим синтети-ческим диэлектриком,"MIL-PRF-19978, MIL-PRF-39022, MIL-PRF-55514, MIL-PRF-83421","QPL-19978, QPL-39022, QPL-55514, QPL-83421","0,00051","0,0043"
1,Слюдяные,MIL-PRF-39001,QPL-39001,"0,00076","0,003"
2,Стеклянные,MIL-PRF-23269,QPL-23269,"0,00076","0,039"
3,Керамические постоянной ёмкости термокомпенсационные,MIL-PRF-20,QPL-20,"0,00099","0,0057"
4,Керамические постоянной ёмкости,"MIL-PRF-123, MIL-PRF-39014","QPL-123, QPL-39014","0,00099","0,0057"
5,Керамические постоянной ёмкости поверхностного монтажа,MIL-PRF-55681,QPL-55681,"0,002","0,0057"
6,Керамические переменной ёмкости (триммеры),MIL-PRF-81,QPL-81,"0,0079","0,0683"
7,Оксидно-полупроводниковые,MIL-PRF-39003,QPL-39003,"0,0004","0,037"
8,Оксидно-полупроводниковые поверхностного монтажа,MIL-PRF-55365,QPL-55365,"0,00005","0,037"
9,Объемно-пористые,MIL-PRF-39006,QPL-39006,"0,0004","0,037"
10,Оксидно-электролитические алюминиевые,MIL-PRF-39018 ,QPL-39018,"0,00012","0,0019"
11,Переменные поршневого типа трубчатые подстроечные,MIL-PRF-14409,QPL-14409,"0,006","0,0177"
