id,Группа изделий,Подгруппа изделий,"λб.с.г·10^6, 1/ч",Кх
0,Диоды низкочастотные,диоды выпрямительные общего назначения,"0,0038","0,0009"
1,Диоды низкочастотные,диоды выпрямительные мощные быстрого восстановления,"0,025","0,0009"
2,Диоды низкочастотные,диоды выпрямительные мощные (в т.ч. Шоттки),"0,003","0,0009"
3,Диоды низкочастотные,диоды импульсные,"0,001","0,0008"
4,Диоды низкочастотные,защитные диоды (супрессоры) / варисторы,"0,0013","0,0132"
5,Диоды низкочастотные,регуляторы тока,"0,0034","0,0136"
6,Диоды низкочастотные,стабилитроны,"0,002","0,0136"
7,Диоды высокочастотные,диоды лавинно-пролетные,"0,22","0,01"
8,Диоды высокочастотные,диоды Ганна,"0,18","0,01"
9,Диоды высокочастотные,диоды туннельные и обращенные (включая смесительные и детекторные),"0,0023","0,01"
10,Диоды высокочастотные,диоды PIN,"0,0081","0,005"
11,Диоды высокочастотные,диоды с барьером Шоттки (включая детекторные),"0,027","0,01"
12,Диоды высокочастотные,варакторы (варикапы) и диоды с накоплением заряда,"0,0025","0,0009"
13,Транзисторы биполярные низкочастотные,,"0,00074","0,003"
14,Транзисторы полевые низкочастотные,МОП (MOSFET),"0,012","0,0011"
15,Транзисторы полевые низкочастотные,с p/n-переходом (JFET),"0,0045","0,0011"
16,Транзисторы однопереходные,,"0,0083","0,01"
17,Транзисторы биполярные высокочастотные малой и средней мощности,,"0,18","0,034"
18,Транзисторы биполярные высокочастотные большой мощности,,"Значение интенсивности отказов λб.с.г вычисляется по формуле: λб.с.г = 0,032·e0.354·F + 0.00558·P, где F – частота, ГГц, Р – выходная мощность, Вт.","0,012"
19,Транзисторы полевые высокочастотные арсенидогаллиевые малой и средней мощности,,"0,052","0,034"
20,Транзисторы полевые высокочастотные арсенидогаллиевые большой мощности,,"Значение интенсивности отказов λб.с.г вычисляется по формуле: λб.с.г = 0,093·e0.429·F + 0.486·P, где F – частота, ГГц, Р – выходная мощность, Вт.","0,012"
21,Транзисторы полевые высокочастотные кремниевые,МОП (MOSFET),"0,06","0,0011"
22,Транзисторы полевые высокочастотные кремниевые,с p/n-переходом (JFET),"0,023","0,0011"
23,Тиристоры,,"0,0022","0,0039"
