id,Группа изделий,ОТУ,Перечни QML и QPL,"λб.с.г·10^6, 1/ч",Кх 
0,"Резисторы постоянные пленочные, в т.ч. поверхностного монтажа","MIL-PRF-55182, MIL-PRF-22684, MIL-PRF-39017, MIL-PRF-49462, MIL-PRF-49465, MIL-PRF-55342","QPL-55182, QPL-22684, QPL-39017, QPL-49462, QPL-49465, QPL-55342","0,0037","0,0024"
1,"Резисторы постоянные проволочные, кроме мощных","MIL-PRF-39005","QPL-39005","0,0024","0,01"
2,"Резисторы постоянные проволочные мощные","MIL-PRF-26, MIL-PRF-18546, MIL-PRF-39007, MIL-PRF-39009","QPL-26, QPL-18546, QPL-39007, QPL-39009","0,0024","0,01" 
3,"Сборки резисторные, в т.ч. поверхностного монтажа","MIL-PRF-914, MIL-PRF-83401","QPL-914, QPL-83401","0,0019","0,021"
4,"Резисторы переменные проволочные, кроме мощных и полупрецизионных","MIL-PRF-27208, MIL-PRF-39015, MIL-PRF-12934","QPL-27208, QPL-39015, QPL-12934","0,0024","0,062"
5,"Резисторы переменные проволочные мощные (> 5 Вт)","MIL-PRF-22","QPL-22","0,0024","0,062"
6,"Резисторы переменные проволочные полупрецизионные","MIL-PRF-39002","QPL-39002","0,0024","0,062"
7,"Резисторы переменные непроволочные, кроме прецизионных","MIL-PRF-94, MIL-PRF-22097, MIL-PRF-39035","QPL-39035, QPL-94, QPL-22097","0,0037","0,01"
8,"Резисторы переменные непроволочные прецизионные","MIL-PRF-39023","QPL-39023","0,0037","0,01"
9,"Терморезисторы","MIL-PRF-23648","QPL-23648","0,0019","0,10"
