Тип изделия,Номер ТУ,группа
Д1 – Д179,ОЮ0.475.000ТУ,Дроссели фильтров
Д,ВУШК.671330.001ТУ,Дроссели фильтров
Д201 – Д274,ОЮ0.475.013ТУ,Дроссели фильтров
Д5-1 – Д5-99,ОЮ0.475.020ТУ,Дроссели фильтров
Д201 – Д274,КРЮМ0.475.002ТУ,Дроссели фильтров
Д13,АГ0.475.007ТУ,Дроссели фильтров
Д201ВСС – Д274ВСС,КРЮМ0.475.013ТУ,Дроссели фильтров
Д18,АГ0.475.010ТУ,Дроссели фильтров
Д275 – Д286,ОЮ0.475.021ТУ,Дроссели фильтров
Д19,АГ0.475.011ТУ,Дроссели фильтров
Д301 – Д371,АГ0.475.002ТУ,Дроссели фильтров
Д,ГИ0.477.002ТУ,Дроссели высокочастотные
ДМ,"""Н""ЦКСН.671342.001ТУ",Дроссели высокочастотные
ДМ,ГИ0.477.005ТУ,Дроссели высокочастотные
ДММ,УЗ0.477.000ТУ,Дроссели высокочастотные
