Номер серии ИС,Типономинал ИС,Номер ТУ,Технология,"Количество элементов, бит (для ЗУ)",Тип корпуса,Группа,Подргуппа
100,100ИВ165,И63.088.068ТУ19,,277,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ИД161,И63.088.068ТУ11,,141,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ИД162,И63.088.068ТУ11,,141,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ИД164,И63.088.068ТУ11,,159,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ИЕ136,И63.088.068-15ТУ,,424,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ИЕ137,И63.088.068-15ТУ,,457,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ИЕ160,И63.088.068-09ТУ,,212,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ИМ180,И63.088.068-09ТУ,,216,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ИП179,И63.088.068-09ТУ,,128,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ИП181,И63.088.068-25ТУ,,504,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ИР141,И63.088.068-16ТУ,,311,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ЛЕ106,И63.088.068-10ТУ,,45,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ЛЕ111,И63.088.068-04ТУ,,34,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ЛЕ211,И63.088.068-20ТУ,,34,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ЛК117,И63.088.068-01ТУ,,56,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ЛК121,И63.088.068-06ТУ,,64,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ЛЛ110,И63.088.068-04ТУ,,34,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ЛЛ210,И63.088.068-20ТУ,,34,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ЛМ101,И63.088.068-03ТУ,,53,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ЛМ102,И63.088.068-03ТУ,,53,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ЛМ105,И63.088.068-04ТУ,,42,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
100,100ЛМ109,И63.088.068-01ТУ,,42,,Микросхемы интегральные цифровые,"Логические, арифметические, микропроцессоры и микропроцессорные комплекты, программируемые логические матрицы, регистры сдвига, базовые матричные кристаллы и др. ( корпусные, бескорпусные)"
