Тип изделия,Номер ТУ,группа,подгруппа,подгруппа (2)
КМ-4б,ОЖ0.460.043ТУ,Конденсаторы постоянной емкости,Керамические на номинальное напряжение менее 1600 В,
К10-51,ОЖ0.460.186ТУ,Конденсаторы постоянной емкости,Керамические на номинальное напряжение менее 1600 В,
"КМ-5а, б",ОЖ0.460.043ТУ,Конденсаторы постоянной емкости,Керамические на номинальное напряжение менее 1600 В,
К10-54,ОЖ0.460.199ТУ,Конденсаторы постоянной емкости,Керамические на номинальное напряжение менее 1600 В,
"К10-17а, б, в",ОЖ0.460.107ТУ,Конденсаторы постоянной емкости,Керамические на номинальное напряжение менее 1600 В,
"К10-57а, б, в",ОЖ0.460.194ТУ,Конденсаторы постоянной емкости,Керамические на номинальное напряжение менее 1600 В,
К10-26,ОЖ0.460.108ТУ,Конденсаторы постоянной емкости,Керамические на номинальное напряжение менее 1600 В,
К10-59,ОЖ0.460.200ТУ,Конденсаторы постоянной емкости,Керамические на номинальное напряжение менее 1600 В,
К10-42,ОЖ0.460.167ТУ,Конденсаторы постоянной емкости,Керамические на номинальное напряжение менее 1600 В,
"К10-60а, в",ОЖ0.460.209ТУ,Конденсаторы постоянной емкости,Керамические на номинальное напряжение менее 1600 В,
"К10-43а, в",ОЖ0.460.165ТУ,Конденсаторы постоянной емкости,Керамические на номинальное напряжение менее 1600 В,
К10-65,АЖЯР.673511.000ТУ,Конденсаторы постоянной емкости,Керамические на номинальное напряжение менее 1600 В,
"К10-47а, б, в",ОЖ0.460.174ТУ,Конденсаторы постоянной емкости,Керамические на номинальное напряжение менее 1600 В,
"К10-69б, в",АЖЯР.673511.002ТУ,Конденсаторы постоянной емкости,Керамические на номинальное напряжение менее 1600 В,
"К10-47Ма, Мб, Мв",ОЖ0.460.174МТУ,Конденсаторы постоянной емкости,Керамические на номинальное напряжение менее 1600 В,
К10-71,АЖЯР.673511.001ТУ,Конденсаторы постоянной емкости,Керамические на номинальное напряжение менее 1600 В,
К10-48,ОЖ0.460.173ТУ,Конденсаторы постоянной емкости,Керамические на номинальное напряжение менее 1600 В,
"К10-73б, в",ЯАВЦ.673511.010ТУ,Конденсаторы постоянной емкости,Керамические на номинальное напряжение менее 1600 В,
"К10-50б, в",ОЖ0.460.182ТУ,Конденсаторы постоянной емкости,Керамические на номинальное напряжение менее 1600 В,
"КВИ-1, -2, -3",ОЖ0.460.029ТУ,Конденсаторы постоянной емкости,Керамические на номинальное напряжение 1600 В и выше,
"К15-20, б, в",ОЖ0.460.204ТУ,Конденсаторы постоянной емкости,Керамические на номинальное напряжение 1600 В и выше,
К15-5,ОЖ0.460.084ТУ,Конденсаторы постоянной емкости,Керамические на номинальное напряжение 1600 В и выше,
К15-21,ОЖ0.460.210ТУ,Конденсаторы постоянной емкости,Керамические на номинальное напряжение 1600 В и выше,
"К15-12а, б",ОЖ0.460.136ТУ,Конденсаторы постоянной емкости,Керамические на номинальное напряжение 1600 В и выше,
К15-25,АЖЯР.673516.002ТУ,Конденсаторы постоянной емкости,Керамические на номинальное напряжение 1600 В и выше,
К15-13,ОЖ0.460.162ТУ,Конденсаторы постоянной емкости,Керамические на номинальное напряжение 1600 В и выше,
К15-29,АЖЯР.673516.001ТУ,Конденсаторы постоянной емкости,Керамические на номинальное напряжение 1600 В и выше,
"К15-14а, б, в, г, д",ОЖ0.460.213ТУ,Конденсаторы постоянной емкости,Керамические на номинальное напряжение 1600 В и выше,
"К15У-1, -2, -3",ОЖ0.460.085ТУ,Конденсаторы постоянной емкости,Керамические на номинальное напряжение 1600 В и выше,
К15-15,ОЖ0.460.170ТУ,Конденсаторы постоянной емкости,Керамические на номинальное напряжение 1600 В и выше,
КВЦ,ОЖ0.460.028ТУ,Конденсаторы постоянной емкости,Керамические на номинальное напряжение 1600 В и выше,
К15-17,ОЖ0.460.181ТУ,Конденсаторы постоянной емкости,Керамические на номинальное напряжение 1600 В и выше,
К26-4,ОЖ0.464.240ТУ,Конденсаторы постоянной емкости,Тонкопленочные с неорганическим диэлектриком,
К26-4б,ОЖ0.464.240ТУ,Конденсаторы постоянной емкости,Тонкопленочные с неорганическим диэлектриком,
К21-7,ОЖ0.464.095ТУ,Конденсаторы постоянной емкости,Стеклянные,
К31-7,ОЖ0.461.033ТУ,Конденсаторы постоянной емкости,Слюдяные,
СГМ,ОЖ0.461.082ТУ,Конденсаторы постоянной емкости,Слюдяные,
К31-14,ОЖ0.461.153ТУ,Конденсаторы постоянной емкости,Слюдяные,
СГМ3,ОЖ0.461.022ТУ,Конденсаторы постоянной емкости,Слюдяные,
КСОТ,ОЖ0.461.025ТУ,Конденсаторы постоянной емкости,Слюдяные,
МБГН,ОЖ0.462.031ТУ,Конденсаторы постоянной емкости,Бумажные,
ОКБГ-И,ОЖ0.462.132ТУ,Конденсаторы постоянной емкости,Бумажные,
МБГЧ-1,ОЖ0.462.049ТУ,Конденсаторы постоянной емкости,Бумажные,
ОМБГ,ОЖ0.462.107ТУ,Конденсаторы постоянной емкости,Бумажные,
К50-15,ОЖ0.464.103ТУ,Конденсаторы постоянной емкости,Оксидно-электролитические,
К50-38,ОЖ0.464.229ТУ,Конденсаторы постоянной емкости,Оксидно-электролитические,
К50-20,ОЖ0.464.120ТУ,Конденсаторы постоянной емкости,Оксидно-электролитические,
К50-41,ОЖ0.464.265ТУ,Конденсаторы постоянной емкости,Оксидно-электролитические,
К50-24,ОЖ0.464.161ТУ,Конденсаторы постоянной емкости,Оксидно-электролитические,
К50-46,ОЖ0.464.257ТУ,Конденсаторы постоянной емкости,Оксидно-электролитические,
К50-24-2,ОЖ0.464.161ТУ,Конденсаторы постоянной емкости,Оксидно-электролитические,
К50-47,ОЖ0.464.258ТУ,Конденсаторы постоянной емкости,Оксидно-электролитические,
К50-27,ОЖ0.464.147ТУ,Конденсаторы постоянной емкости,Оксидно-электролитические,
К50-48,АЖЯР.673541.000ТУ,Конденсаторы постоянной емкости,Оксидно-электролитические,
К50-29,ОЖ0.464.156ТУ,Конденсаторы постоянной емкости,Оксидно-электролитические,
К50-50,АЖЯР.673541.001ТУ,Конденсаторы постоянной емкости,Оксидно-электролитические,
