Тип изделия,Номер ТУ,"tпер.макс, °С","tсниж, °С",Примечание,СВЧ Диапазон,Группа изделия,Подгруппа изделия
"Д214, А, Б",УЖ3.362.018ТУ,75,–,-60°С ≤ t ≤+75°С Iпр.ср.макс постоянный,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"Д215, А, Б",УЖ3.362.018ТУ,75,–,-60°С ≤ t ≤+75°С Iпр.ср.макс постоянный,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"Д231, А, Б",УЖ3.362.018ТУ,75,–,-60°С ≤ t ≤+75°С Iпр.ср.макс постоянный,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"Д232, А, Б",УЖ3.362.018ТУ,75,–,-60°С ≤ t ≤+75°С Iпр.ср.макс постоянный,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"Д233, Б",УЖ3.362.018ТУ,75,–,-60°С ≤ t ≤+75°С Iпр.ср.макс постоянный,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
Д234Б,УЖ3.362.018ТУ,75,–,-60°С ≤ t ≤+75°С Iпр.ср.макс постоянный,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"Д237А – В, Е, Ж",ТРЗ.362.021ТУ/Д1,160,25,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"МД217, 218, 218А",ТРЗ.362.067ТУ/Д1,180,85,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"2Д102А, Б",ТТЗ.362.074ТУ,160,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д103А,ТТ3.362.060ТУ,160,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д103А1/СО,АЕЯР.432120.174ТУ,150,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д104А,ТТЗ.362.068ТУ,70,–,-60°С ≤ t ≤+70°С Iпр.ср.макс постоянный,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д104А1/СО,АЕЯР.432120.175ТУ,150,70,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д116А-1,аА0.339.154ТУ,150,60,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д120А1,аА0.339.382ТУ,175,70,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д120А2/СО,АЕЯР.432120.176ТУ,175,70,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д123А9,аА0.339.570ТУ,125,70,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д201А – Г,УЖ0.321.064ТУ,150,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"2Д202В, Д, Ж, Т",УЖ3.362.035ТУ,150,75,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"2Д202К, М, Р",УЖ3.362.035ТУ,150,75,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д203А – Д,УЖ0.336.038ТУ,140,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д204А – В,ТРЗ.362.066ТУ,125,85,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д206А – В,ТТ3.362.113ТУ,145,85,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д210А – Г,УЖ0.336.076ТУ,140,50,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"2Д212А, Б",Ц23.362.006ТУ,140,80,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"2Д212А/СО, Б/СО",АЕЯР.432120.177ТУ,140,80,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д212А-6,аА0.339.074ТУ,140,80,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д213А – Г,Ц23.362.008ТУ,140,85,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д213А/СО – Г/СО,АЕЯР.432120.178ТУ,140,85,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"2Д213А-6, Б-6",аА0.339.073ТУ,100,–,-60°С ≤ t ≤+100°С Iпр.ср.макс постоянный,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д215Г,ТРЗ.362.095ТУ/Д2-2,125,85,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"2Д219А, Б",аА0.339.075ТУ,125,85,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д220А – И,аА0.339.076ТУ,155,125,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д220А1 – И1,аА0.339.076ТУ/Д1,155,125,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д222А-5 – В-5,аА0.339.327ТУ,125,100,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д222АС – ЕС,аА0.339.327ТУ,125,100,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д230А – Л,аА0.339.465ТУ,140,100,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д231А – Г,аА0.339.375ТУ,150,100,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
2Д234А – В,аА0.339.562ТУ,150,70,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"2Д235А, Б",аА0.339.575ТУ,150,60,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"2Д236А, Б",аА0.339.599ТУ,155,70,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"2Д236А-6, Б-6",аА0.339.697ТУ,150,30,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"2Д237А, Б",аА0.339.600ТУ,150,70,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
"2Д237А1/ПМ, Б1/ПМ",АЕЯР.432120.197ТУ,165,70,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Диоды полупроводниковые,Диоды выпрямительные
