Группа изделий,Подгруппа изделий,Материал,"d, шт.","λб.с.г⋅10^6, 1/ч","dх, шт.","λх.с.г⋅10^8, 1/ч",Кх,"Распределение отказов по видам / внезапные / обрыв, %","Распределение отказов по видам / внезапные / короткое замыкание, %","Распределение отказов по видам / внезапные / пробой, %","Распределение отказов по видам / постепенные / параметрические, %",Кпр 5 (ВП),Кпр 9 (ОС),Кз
Диоды кремниевые,диоды выпрямительные,,55,"0,091",0,"0,0086","0,0009",14,6,,80,1,"0,2","1,4" 
Диоды кремниевые,диоды импульсные,,27,"0,025",3,"0,002","0,0008",14,6,,80,1,"0,45","1,4" 
Диоды кремниевые,столбы выпрямительные,,16,"0,21",0,"0,176","0,0084",14,6,,80,1,"0,35","1,4" 
Диоды кремниевые,варикапы подстроечные,,16,"0,022",0,"0,002","0,0009",14,6,,80,1,"0,6","1,4" 
Диоды кремниевые,диодные сборки,,0,"0,008",1,"0,088","0,011",14,6,,80,1,"0,45","1,4" 
Стабилитроны,,,30,"0,0041",0,"0,0056","0,0136",14,6,,80,1,"0,2","1,4" 
Ограничители напряжения,,,1,"0,0043",,"0,0057","0,0132",14,6,,80,1,"0,2","1,4" 
Генераторы шума,,,0,"0,086",0,"0,009","0,001",14,6,,80,1,"0,2","1,4" 
Транзисторы биполярные кремниевые,,,54,"0,044",6,"0,013","0,003",16,4,,80,1,"0,35","1,4"
Транзисторные сборки кремниевые,,,5,"0,095",0,"0,007","0,0007",16,4,,80,1,"0,35","1,4" 
Транзисторы полевые,,кремниевые,29,"0,065",0,"0,007","0,0011",16,4,,80,1,"0,35","1,4"
Транзисторы полевые,,арсенидогаллиевые,14,"0,578",0,"0,007","0,0001",16,4,,80,1,"0,35","1,4" 
Тиристоры кремниевые,,,25,"0,2",8,"0,079","0,0039",15,3,,82,1,"0,2","1,6"
Диоды СВЧ,смесительные,кремниевые,0,"0,05",26,"0,137","0,027",17,33,6,44,1,"0,6","1,6" 
Диоды СВЧ,смесительные,арсенидогаллиевые,1,"0,13",26,"0,137","0,01",17,33,6,44,1,"0,6","1,6"
Диоды СВЧ,детекторные,кремниевые,2,"0,27",26,"0,137","0,0051",17,33,6,44,1,"0,6","1,6"
Диоды СВЧ,детекторные,арсенидогаллиевые,0,"0,42",26,"0,137","0,0033",17,33,6,44,1,"0,6","1,6"
Диоды СВЧ,параметрические,арсенидогаллиевые,2,"0,26",26,"0,137","0,0053",17,33,6,44,1,"0,6","1,6"
Диоды СВЧ,переключательные и ограничительные,кремниевые,10,"0,15",26,"0,137","0,0091",17,33,6,44,1,"0,6","1,6"
Диоды СВЧ,переключательные и ограничительные,арсенидогаллиевые,0,"0,16",26,"0,137","0,0086",17,33,6,44,1,"0,6","1,6"
Диоды СВЧ,умножительные и настроечные,кремниевые,45,"1,61",26,"0,137","0,0009",17,33,6,44,1,"0,6","1,6"
Диоды СВЧ,умножительные и настроечные,арсенидогаллиевые,2,"0,27",26,"0,137","0,0051",17,33,6,44,1,"0,6","1,6"
Диоды СВЧ,генераторные,кремниевые,0,"0,14",26,"0,137","0,01",17,33,6,44,1,"0,6","1,6"
Диоды СВЧ,генераторные,арсенидогаллиевые,8,"0,2",26,"0,137","0,0068",17,33,6,44,1,"0,6","1,6"
Транзисторы СВЧ биполярные кремниевые,малой и средней мощности,,31,"0,064",7,"0,22","0,034",28,20,,52,1,"0,35","1,6" 
Транзисторы СВЧ биполярные кремниевые,большой мощности,,18,"0,18",7,"0,22","0,012",15,20,,65,1,"0,4","1,6" 
Транзисторные сборки СВЧ,,,0,"0,019",7,"0,22","0,12",28,20,,52,1,"0,35","1,6"
