Тип изделия,Номер ТУ,Группа изделия,Подгруппа изделия
Р1-1,ОЖ0.467.149ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных)
Р1-33,АЛЯР.434110.008ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных)
Р1-2,ОЖ0.467.155ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных)
Р1-74-1,РЮКУ.434114.001ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных)
Р1-3,ОЖ0.467.153ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных)
Р1-74-2,РЮКУ.434114.001ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных)
Р1-4,ОЖ0.467.154ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных)
Р1-74-3,РЮКУ.434114.001ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных)
Р1-5,ОЖ0.467.153ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных)
С1-4,ШКАБ.434110.005ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных)
Р1-6,ОЖ0.467.161ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных)
С2-6,ОЖ0.467.032ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных)
Р1-8,ОЖ0.467.164ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных)
С2-10,ОЖ0.467.072ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных)
Р1-8МП,ОЖ0.467.164ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных)
"С2-10а, б",ОЖ0.467.072ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных)
Р1-9,АЛЯР.434110.001ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных)
С2-23,ОЖ0.467.081ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных)
Р1-10,ОЖ0.467.166ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных)
С2-33,ОЖ0.467.093ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных)
Р1-11,АЛЯР.434110.004ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных)
С2-33М,ШКАБ.434110.006ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных)
Р1-12,АЛЯР.434110.005ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных)
С2-33Н,ОЖ0.467.093ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных)
Р1-12,ШКАБ.434110.002ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных)
С2-34,ОЖ0.467.133ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных)
Р1-21,ОЖ0.467.190ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных)
С2-34М,ОЖ0.467.133ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных)
Р1-29,АЛЯР.434110.007ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных)
Р1-16,АЛЯР.434110.002ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические прецизионные
С2-29В,ОЖ0.467.099ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические прецизионные
Р1-16П,АЛЯР.434110.002ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические прецизионные
"С2-31А, Б",ОЖ0.467.103ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические прецизионные
Р1-24,АЛЯР.434110.003ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические прецизионные
С2-36,ОЖ0.467.089ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические прецизионные
С2-14,ОЖ0.467.036ТУ,Резисторы постоянные непроволочные,Металлодиэлектрические прецизионные
С6-2,ОЖ0.467.088ТУ,Резисторы постоянные непроволочные,Металлизированные
С6-6-II,ОЖ0.467.117ТУ,Резисторы постоянные непроволочные,Металлизированные
С6-3,ОЖ0.467.101ТУ,Резисторы постоянные непроволочные,Металлизированные
С6-7,ОЖ0.467.134ТУ,Резисторы постоянные непроволочные,Металлизированные
С6-4,ОЖ0.467.110ТУ,Резисторы постоянные непроволочные,Металлизированные
С6-8,ОЖ0.467.131ТУ,Резисторы постоянные непроволочные,Металлизированные
С6-5,ОЖ0.467.111ТУ,Резисторы постоянные непроволочные,Металлизированные
С6-9,ОЖ0.467.140ТУ,Резисторы постоянные непроволочные,Металлизированные
КЭВ,ОЖ0.467.077ТУ,Резисторы постоянные непроволочные,Композиционные пленочные
С3-14,ОЖ0.467.113ТУ,Резисторы постоянные непроволочные,Композиционные пленочные
С3-12,ОЖ0.467.119ТУ,Резисторы постоянные непроволочные,Композиционные пленочные
С3-15,ОЖ0.467.122ТУ,Резисторы постоянные непроволочные,Композиционные пленочные
С4-2,ОЖ0.467.057ТУ,Резисторы постоянные непроволочные,Композиционные объемные
УНУ,ОЖ0.467.019ТУ,Резисторы постоянные непроволочные,Композиционные объемные
С4-3,ОЖ0.467.132ТУ,Резисторы постоянные непроволочные,Композиционные объемные
УНУ-Ш,ОЖ0.467.019ТУ,Резисторы постоянные непроволочные,Композиционные объемные
ТВО,ОЖ0.467.035ТУ,Резисторы постоянные непроволочные,Композиционные объемные
ПЭВ,ОЖ0.467.546ТУ,Резисторы постоянные проволочные и фольговые,Нагрузочные
С5-37В,ОЖ0.467.540ТУ,Резисторы постоянные проволочные и фольговые,Нагрузочные
ПЭВР,ОЖ0.467.546ТУ,Резисторы постоянные проволочные и фольговые,Нагрузочные
