Группа изделия,Подгруппа изделия,"d, шт.","λб.с.г⋅10^6, 1/ч","dх, шт.","λх.с.г⋅10^8, 1/ч",Кх,"Распределение отказов по видам / полная потеря проводимости (обрыв), %","Распределение отказов по видам / уход за нормы ТУ ΔR/R0, %",Кпр / Приемка / 5 (ВП),Кпр / Приемка / 9 (ОС),Кз 
Резисторы постоянные непроволочные,металлодиэлектрические (кроме прецизионных),46,"0,048",4,"0,0072","0,0015",5,95,1,"0,3","1,7"
Резисторы постоянные непроволочные,металлодиэлектрические прецизионные,14,"0,039",4,"0,0072","0,0018",5,95,1,"0,3","1,7"
Резисторы постоянные непроволочные,металлизированные,11,"0,037",4,"0,0072","0,0019",5,95,1,"0,3","1,7"
Резисторы постоянные непроволочные,композиционные пленочные,3,"0,03",4,"0,0072","0,0024",5,95,1,"0,3","1,7"
Резисторы постоянные непроволочные,композиционные объемные,10,"0,035",4,"0,0072","0,002",5,95,1,"0,3","1,7"
Резисторы постоянные проволочные и фольговые,нагрузочные,8,"0,029",2,"0.014","0,0048",30,70,1,"0,3","1,7"
Резисторы постоянные проволочные и фольговые,"прецизионные",11,"0,011",2,"0.014","0,0127",35,65,1,"0,3","1,7"
Резисторы постоянные проволочные и фольговые,"особостабильные",11,"0,011",2,"0.014","0,0127",35,65,1,"0,3","1,7"
Резисторы постоянные проволочные и фольговые,"фольговые",11,"0,011",2,"0.014","0,0127",35,65,1,"0,3","1,7"
Резисторы переменные непроволочные,металлоокисные,0,"0,006",0,"0,024","0,04",24,76,1,"0,3","1,7"
Резисторы переменные непроволочные,керметные,8,"0,0087",0,"0,024","0,028",24,76,1,"0,3","1,7"
Резисторы переменные непроволочные,композиционные пленочные,0,"0,003",0,"0,024","0,08",24,76,1,"0,8","1,7"
Резисторы переменные непроволочные,композиционные объемные,0,"0,014",0,"0,024","0,017",24,76,1,"0,5","1,7"
Резисторы переменные непроволочные,потенциометры,0,"0,015",0,"0,024","0,016",24,76,1,,"1,7"
Резисторы переменные проволочные,подстроечные,30,"0,017",5,"0,105","0,062",83,17,1,"0,3","1,7"
Резисторы переменные проволочные,регулировочные,12,"0,0076",5,"0,105","0,138",83,17,1,"0,3","1,7"
Терморезисторы,,0,"0,007",9,"0,079","0,113",15,85,1,"0,3","1,7"
Терморезисторы,,9,"0,068 Примечание: значение  интенсивности  отказов  соответствует  максимально  допустимой по ТУ температуре окружающей среды и Р = 0 (где Р – рабочая мощность).",9,"0,079","0,113",15,85,1,"0,3","1,7"
Микросхемы резисторные пленочные,,2,"0,0092",0,"0,019","0,021",85,15,1,"0,3","1,7"
Наборы резисторов,,2,"0,0092",0,"0,019","0,021",85,15,1,"0,3","1,7"
Резисторные сборки,,2,"0,015",10,"0,384","0,256",,,1,"0,3","1,7"
Поглотители,,,"0,05",,"0,0036","0,0007",,,1,,"1,7"
