Группа изделия,Подгруппа изделия,Тип изделия,"d, шт.","λб⋅10^6, 1/ч","Тн.м, тыс. ч","Тр.γ, тыс. ч (γ = 95%)","Тхр, лет"
Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных),Р1-1*,,"0,049",25 (во всех режимах по ТУ),50 (во всех режимах по ТУ),15
Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных),Р1-2*,,"0,049","30 (во всех режимах по ТУ); 100 (t ≤ 60°С, Р / Рн = 1)",60 (во всех режимах по ТУ),25
Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных),Р1-3*,0,"0,049","15 (во всех режимах по ТУ); 100 (t ≤ 60°С, Р / Рн = 1)",30 (во всех режимах по ТУ),15
Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных),Р1-5*,,"0,049","15 (во всех режимах по ТУ); 100 (t ≤ 60°С, Р / Рн = 1)",30 (во всех режимах по ТУ),15
Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных),Р1-8МП*,,"0,049",20 (во всех режимах по ТУ),40 (во всех режимах по ТУ),15
Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных),Р1-9*,,"0,049",50 (во всех режимах по ТУ),100 (во всех режимах по ТУ),20
Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных),Р1-9-40,,"0,049","50 (во всех режимах по ТУ); 100 (t ≤  85°С, Р ≤  16 Вт)",100 (во всех режимах по ТУ),20
Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных),Р1-9-50,,"0,049","50 (во всех режимах по ТУ); 100 (t ≤  85°С, Р ≤  25 Вт)",100 (во всех режимах по ТУ),20
Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных),Р1-10*,0,"0,049","800 имп. Р1-10-1 ÷ Р1-10-7; 20 цикл. Р1-10-7, Р1-10-8 (во всех режимах по ТУ)","1200 имп. Р1-10-1÷ Р1-10-7; 30 цикл. Р1-10-7, Р1-10-8 (во всех режимах по ТУ)",15
Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных),Р1-21*,,"0,049",6 (во всех режимах по ТУ),12 (во всех режимах по ТУ) (γ = 90%),12
Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных),Р1-29*,,"0,049",30 (во всех режимах по ТУ),60 (во всех режимах по ТУ),25
Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных),Р1-33*,,"0,049","15 (во всех режимах по ТУ); 40 (t ≤  70°С, U / Uпред ≤  0,5)",30 (во всех режимах по ТУ),15
Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных),Р1-74-1*,0,"0,049",15 (во всех режимах по ТУ),30 (во всех режимах по ТУ),20
Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных),Р1-74-2*,0,"0,049",15 (во всех режимах по ТУ),30 (во всех режимах по ТУ),20
Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных),Р1-74-3*,0,"0,049",15 (во всех режимах по ТУ),30 (во всех режимах по ТУ),20
Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных),Р1-4,31,"0,063","30 (во всех режимах по ТУ); 50 (t≤ 70°С, Р/Рн≤ 0,5) 0,25 Вт; 100 (t ≤ 70°С, Р / Рн ≤ 0,25) 0,25 Вт, 0,5 Вт","60 (во всех режимах по ТУ); 130 (t ≤ 70°С, Р / Рн ≤ 0,25) 0,25 Вт, 0,5 Вт","20 (Рн = 0,25 Вт) 15 (Рн = 0,5 Вт)"
Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных),Р1-11,31,"0,063","25 (во всех режимах по ТУ); 100 (t ≤  55°С, Р / Рн ≤  0,5)",50 (во всех режимах по ТУ),20
Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных),Р1-12,31,"0,063","25 (во всех режимах по ТУ); 100 (t ≤  55°С, Р / Рн ≤  0,5)",40 (во всех режимах по ТУ),25
Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных),С2-6,31,"0,063","15 (во всех режимах по ТУ); 100 (t ≤  155°С, Р / Рн = 1)","25 (во всех режимах по ТУ); 70(t = 250°С, Р / Рн = 1) 0,125 Вт",20
Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных),С2-23,31,"0,063","50 (во всех режимах по ТУ); 100 (t ≤  55°С, Р / Рн ≤  0,5)",100 (во всех режимах по ТУ),25
Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных),"С2-33, С2-33М",31,"0,063","30 (во всех режимах по ТУ); 100 (t ≤  50°С, Р / Рн ≤  0,5)","40 (во всех режимах по ТУ); 130 (t ≤  50°С, Р / Рн ≤  0,5);","15  (от 0,1 до 0,91 Ом), 25  (от 1 до 107 Ом)"
Резисторы постоянные непроволочные,Металлодиэлектрические (кроме прецизионных),С2-33Н,31,"0,063","30 (во всех режимах по ТУ); 100 (t ≤  50°С, Р / Рн ≤  0,5)","40 (во всех режимах по ТУ); 130 (t ≤  50°С, Р / Рн ≤  0,5); (0,125 Вт, 2Вт): 60 (t = 85°С, Р / Рн = 1)","15  (от 0,1 до 0,91 Ом), 25  (от 1 до 107 Ом)"
