Тип изделия,Номер ТУ,группа,подгруппа
ОНЦ-РН-3,бР0.364.049ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,Резьбовые и байонетные нормальных габаритов
2РТ-А,ГЕ0.364.118ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,Резьбовые и байонетные нормальных габаритов
Р,ГЕ0.364.112ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,Резьбовые и байонетные нормальных габаритов
2РТТ,ГЕ0.364.120ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,Резьбовые и байонетные нормальных габаритов
РБН1,ГЕ0.364.151ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,Резьбовые и байонетные нормальных габаритов
4РТ,ГЕ0.364.121ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,Резьбовые и байонетные нормальных габаритов
РБН1,АСЛР.434410.020ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,Резьбовые и байонетные нормальных габаритов
4РТГ,ГЕ0.364.122ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,Резьбовые и байонетные нормальных габаритов
РБН1Б,ГЕ0.364.151ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,Резьбовые и байонетные нормальных габаритов
"СГ-51, СГ-51В, Н",АВ3.642.169ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,Резьбовые и байонетные нормальных габаритов
РБН2,АВ0.364.032ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,Резьбовые и байонетные нормальных габаритов
СШР,ГЕ0.364.107ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,Резьбовые и байонетные нормальных габаритов
РБН2,АСЛР.434410.021ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,Резьбовые и байонетные нормальных габаритов
СШР,АСЛР.434410.019ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,Резьбовые и байонетные нормальных габаритов
РГ(1),ГЕ0.364.113ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,Резьбовые и байонетные нормальных габаритов
СШРГ,ГЕ0.364.108ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,Резьбовые и байонетные нормальных габаритов
РГ-П,ГЕ0.364.113ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,Резьбовые и байонетные нормальных габаритов
СШРГ,АСЛР.434410.017ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,Резьбовые и байонетные нормальных габаритов
"РРН25М, РРН25АМ",ГЕ0.364.106ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,Резьбовые и байонетные нормальных габаритов
ШР,ГЕ0.364.107ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,Резьбовые и байонетные нормальных габаритов
РРН26,ГЕ0.364.188ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,Резьбовые и байонетные нормальных габаритов
ШР,НКЦС.434410.504ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,Резьбовые и байонетные нормальных габаритов
"РРН29, РРН30",ГЕ0.364.216ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,Резьбовые и байонетные нормальных габаритов
"ШРГ, ШРГ-П",ГЕ0.364.108ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,Резьбовые и байонетные нормальных габаритов
РРН32М,ГЕ0.364.000ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,Резьбовые и байонетные нормальных габаритов
"ШРН, ШРНС",ГЕ0.364.115ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,Резьбовые и байонетные нормальных габаритов
РРН33,ГЕ0.364.226ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,Резьбовые и байонетные нормальных габаритов
ШРНГ,ГЕ0.364.117ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,Резьбовые и байонетные нормальных габаритов
ОНЦ-БГ-1,ГЕ0.364.241ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,"Резьбовые, байонетные, врубные и самозапирающиеся малогабаритные"
"РРМ47-К, РРМ47Г",АСЛР.434410.024ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,"Резьбовые, байонетные, врубные и самозапирающиеся малогабаритные"
ОНЦ-БГ-3,бР0.364.063ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,"Резьбовые, байонетные, врубные и самозапирающиеся малогабаритные"
СНЦ23,ГЕ0.364.241ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,"Резьбовые, байонетные, врубные и самозапирающиеся малогабаритные"
ОНЦ-ВГ-6,бР0.364.048ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,"Резьбовые, байонетные, врубные и самозапирающиеся малогабаритные"
СНЦ23Л,ГЕ0.364.241ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,"Резьбовые, байонетные, врубные и самозапирающиеся малогабаритные"
ОНЦ-ВГ-7,бР0.364.048ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,"Резьбовые, байонетные, врубные и самозапирающиеся малогабаритные"
"СНЦ27, 28, 29",бР0.364.038ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,"Резьбовые, байонетные, врубные и самозапирающиеся малогабаритные"
ОНЦ-РГ-8,бР0.364.064ТУ,Соединители низкочастотные на напряжение 1500 В цилиндрические для объемного монтажа,"Резьбовые, байонетные, врубные и самозапирающиеся малогабаритные"
