Тип изделия,Номер ТУ,группа,подгруппа
"ТА, ТН (f=50Гц)",ОЮ0.470.001ТУ,Питания,Низковольтные
"ТА, ТН (f=50Гц)",ВУШК.671110.001ТУ,Питания,Низковольтные
"ТАН, ТПП (f=50Гц)",ОЮ0.470.001ТУ,Питания,Низковольтные
"ТАН, ТПП (f=50Гц)",ВУШК.671110.001ТУ,Питания,Низковольтные
"ТА, ТН (f=400Гц)",ОЮ0.471.000ТУ,Питания,Низковольтные
"ТАН, ТПП (f=400Гц)",ОЮ0.471.000ТУ,Питания,Низковольтные
ТА4,ОЮ0.471.031ТУ,Питания,Низковольтные
"ТИУ, СТИУ",ОЮ0.471.015ТУ,Питания,Низковольтные
"ТО, ТП",ОЮ0.471.024ТУ,Питания,Низковольтные
ТП250,АСЮР.671120.000ТУ,Питания,Низковольтные
"ТА, ТПП",ОЮ0.471.029ТУ,Питания,Низковольтные
ТР,ОЮ0.471.028ТУ,Питания,Низковольтные
"ТВ, ТП",ОЮ0.471.001ТУ,Питания,"Высоковольтные, высокопотенциальные"
ТВ3,ОЮ4.716.055ТУ,Питания,"Высоковольтные, высокопотенциальные"
ТВ8,ОЮ0.471.040ТУ,Питания,"Высоковольтные, высокопотенциальные"
ТП8,АГ0.471.203ТУ,Питания,"Высоковольтные, высокопотенциальные"
ТВ10,ОЮ0.471.043ТУ,Преобразователей напряжения,
ТПГ2,ОЮ0.472.058ТУ,Преобразователей напряжения,
ТПГ3,ОЮ0.472.064ТУ,Преобразователей напряжения,
ТПГ4-В,ОЮ0.472.067ТУ,Преобразователей напряжения,
ТПр13,ОЮ0.472.066ТУ,Преобразователей напряжения,
"ТПр14, ТПр16",ОЮ0.472.070ТУ,Преобразователей напряжения,
ТПр19,АГ0.471.006ТУ,Преобразователей напряжения,
ТПр28,АГ0.471.014ТУ,Преобразователей напряжения,
ТПр31,АГ0.471.016ТУ,Преобразователей напряжения,
"ТПр33, 35, 36",АГ0.471.017ТУ,Преобразователей напряжения,
"БТИ1, 2, 3, 4, 5",ОЮ0.222.000ТУ,Импульсные,
"БТИ6, 7, 8",ОЮ0.222.003ТУ,Импульсные,
"БТИ6, 7, 8, 9",ОЮ0.222.001ТУ,Импульсные,
БТИ12,ОЮ0.222.004ТУ,Импульсные,
И,ПК0.473.007ТУ,Импульсные,
МИТ-В,ИЮ0.472.004ТУ,Импульсные,
ММТИ 2А–13А,ОЮ0.472.006ТУ,Импульсные,
"ММТИ 20А–109А, 166А, 167А",ОЮ0.472.013ТУ,Импульсные,
"ММТИ 25М, 28М",ОЮ0.472.048ТУ,Импульсные,
ММТИ 317В–364В,ОЮ0.472.024ТУ,Импульсные,
"МТИ 3-21, 3-24, 3-25",ЮЫ0.472.000ТУ1,Импульсные,
"МТИ 226, 321, 324, 325",УЗ0.472.000ТУ,Импульсные,
ТИ,ОЮ0.472.034ТУ,Импульсные,
ТИ1-350В,ОЮ0.472.034ТУ,Импульсные,
ТИ4,ОЮ0.472.063ТУ,Импульсные,
ТИ4,ОЮ0.472.072ТУ,Импульсные,
ТИ5,ОЮ0.472.063ТУ,Импульсные,
ТИ5,ОЮ0.472.072ТУ,Импульсные,
ТИ11,ОЮ0.472.074ТУ,Импульсные,
ТИ14,АСЮР.671150.002ТУ,Импульсные,
ТИ217В,ОЮ0.472.034ТУ,Импульсные,
ТИГ,ОЮ0.472.046ТУ,Импульсные,
"ТИИ1, ТИИ2, ТИИ3",ОЮ0.472.059ТУ,Импульсные,
ТИИ4,ОЮ0.472.073ТУ,Импульсные,
ТИИ5,Я10.472.000ТУ,Импульсные,
ТИИ6,АГ0.472.103ТУ,Импульсные,
ТИЛ1В – ТИЛ5В,АГ0.472.105ТУ,Импульсные,
ТИМ,ОЮ0.472.045ТУ,Импульсные,
ТИР1,АГ0.472.106ТУ,Импульсные,
ФИТ,ПК0.473.001ТУ,Импульсные,
ГХ0.472.004ТУ,ГХ0.472.004ТУ,Импульсные,
ГХ0.472.006ТУ,ГХ0.472.006ТУ,Импульсные,
ГХ0.472.007ТУ,ГХ0.472.007ТУ,Импульсные,
ММТС 1М–7М,ОЮ0.472.007ТУ,Согласующие,
ММТС 8–13,ОЮ0.472.015ТУ,Согласующие,
ММТС 31В–37В,ОЮ0.472.044ТУ,Согласующие,
"Т, ТМ",ОЮ0.472.021ТУ,Согласующие,
"ТВЛ, ТВТ",ОЮ0.472.010ТУ,Согласующие,
ТНЧ 3-1–3-7,ОЮ0.472.055ТУ,Согласующие,
"ТОТ, ТОЛ",ОЮ0.472.010ТУ,Согласующие,
ТУМ2,ОЮ0.473.005ТУ,Электромагнитные многофункциональные,
ТФ2,ОЮ0.473.007ТУ,Электромагнитные многофункциональные,
